S.no,APIs,Average,95% Line,99% Line,Max,TPS
1,API-1,1091,269,759,1051,2
2,API-2,1091,130,189,206,2
3,API-3,1091,110,170,183,2
4,API-4,1089,111,180,191,2
5,API-5,1089,109,161,180,2
6,API-6,1089,111,167,184,2
7,API-7,1088,127,186,213,2
8,API-8,1088,118,172,190,2
9,API-9,1088,106,138,171,2
10,API-10,1088,149,214,298,2
11,API-11,1087,122,190,252,2
12,API-12,1087,132,158,277,2
13,API-13,1086,119,176,401,2
14,API-14,1086,106,157,168,2
15,API-15,1086,106,141,171,2
16,API-16,1085,140,184,222,2
17,API-17,1085,501,584,622,2
18,API-18,1085,487,561,589,2
19,API-19,1083,106,159,172,2
20,API-20,1083,107,173,182,2
21,API-21,1083,210,226,896,2
22,API-22,1083,121,174,191,2
23,API-23,1082,111,162,183,2
24,API-24,1082,219,263,303,2
